Category ID,OnBuy Category Path
10081,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Art Paper"
10084,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Art Tissue Paper"
10082,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Cardstock"
10092,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Cellophane Wrap"
10094,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Crepe Paper"
10097,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Decorative Paper"
10095,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Kraft Paper"
10087,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Metallic & Foil Paper"
10089,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Paper Rolls"
18212,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Paperboards"
10096,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Parchment Art Paper"
10088,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Printmaking Paper"
10091,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Sugar Paper"
10090,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Tracing Paper"
10083,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Vellum Paper"
18213,"Arts, Crafts & Sewing > Art & Craft Supplies > Art & Craft Paper > Wax Paper"
10075,"Arts, Crafts & Sewing > Art & Craft Supplies > Blank Canvas > Canvas Pads"
10076,"Arts, Crafts & Sewing > Art & Craft Supplies > Blank Canvas > Canvas Panels"
10079,"Arts, Crafts & Sewing > Art & Craft Supplies > Blank Canvas > Canvas Tools & Accessories"
10077,"Arts, Crafts & Sewing > Art & Craft Supplies > Blank Canvas > Pre-Stretched Canvas"
10078,"Arts, Crafts & Sewing > Art & Craft Supplies > Blank Canvas > Rolled Canvas"
10058,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Adhesive Sheets"
10060,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Adhesive Wax"
10059,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Craft Adhesive Sprays"
9474,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Craft Glue"
10063,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Craft Glue Sticks & Pens"
10057,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Craft Mounting Tape"
10056,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Craft Tape"
10062,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Adhesives > Fabric Adhesives"
18217,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Organisation, Storage & Transport > Art Portfolios"
18218,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Organisation, Storage & Transport > Craft Storage Boxes"
18220,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Organisation, Storage & Transport > Pen Holders"
7600,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Art & Crafts Fabric"
10074,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Boards"
9698,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Buttons"
10108,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Eyelets & Grommets"
10105,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Feathers"
9479,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Felt"
9477,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Foam"
10101,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Glitter"
10106,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Gold & Silver Leaf"
10107,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Googly Eyes"
9360,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Pipe Cleaners"
10103,"Arts, Crafts & Sewing > Art & Craft Supplies > Craft Supplies > Craft Rhinestones"
